"classId","name","cell","x","y","z"
"509","Life Stone","0F870000","16.9823","161.638","57.9503"
"509","Life Stone","1035003E","186.487","129.966","72"
"509","Life Stone","17480000","132.042","179.916","16.4034"
"509","Life Stone","17B20000","101.375","53.2718","44.005"
"509","Life Stone","1E090007","2.04685","158.217","48"
"23618","Life Stone","1EB20000","131.594","131.909","2.005"
"23618","Life Stone","1FC90000","59.9473","83.9393","0.005"
"23618","Life Stone","219A0000","84.7968","84.2645","30.005"
"509","Life Stone","21B00000","50.6199","116.939","0.00499997"
"509","Life Stone","231C0000","139.183","150.765","44.005"
"509","Life Stone","23DA002C","135.975","81.4763","2"
"509","Life Stone","263E0000","129.203","148.596","32.8551"
"509","Life Stone","26EC003D","182.994","108.757","80"
"509","Life Stone","27800000","18.7945","137.695","144.005"
"509","Life Stone","281A0000","9.87889","65.9915","14.5057"
"24572","Life Stone","2B100000","69.293","69.232","74.005"
"509","Life Stone","2B120000","109.413","9.47661","48.005"
"509","Life Stone","2BB50000","155.71","9.3781","99.005"
"509","Life Stone","2D5E0000","90.8957","125.598","4.005"
"509","Life Stone","2DAF000E","45.7621","141.364","48"
"509","Life Stone","2E110000","155.536","10.2494","56.005"
"509","Life Stone","2E430000","6.56236","83.9235","8.55352"
"509","Life Stone","2F840000","112.183","141.555","26.005"
"509","Life Stone","33110000","64.8614","14.5966","13.4101"
"509","Life Stone","33D90008","12.1586","179.951","52"
"509","Life Stone","38680000","68.7585","164.861","43.4683"
"509","Life Stone","388C0000","184.699","40.6984","82.005"
"509","Life Stone","38F7001B","83.5592","51.8239","-0.1"
"509","Life Stone","3C410000","66.872","18.362","12.26"
"509","Life Stone","3D220000","179.421","158.057","7.88186"
"509","Life Stone","3D5F0000","2.6988","161.888","40.005"
"509","Life Stone","3EA40000","35.8113","38.1398","0.005"
"509","Life Stone","3EC50000","31.7472","66.0093","8.005"
"509","Life Stone","3ED50000","151.496","158.072","0.005"
"509","Life Stone","3F300000","1.96011","187.743","-0.095"
"509","Life Stone","42160000","83.4707","36.2119","3.91679"
"509","Life Stone","45460000","133.325","164.99","19.5034"
"509","Life Stone","47B60000","51.1636","43.975","128.082"
"509","Life Stone","49B60000","59.5604","68.8548","239.743"
"509","Life Stone","49F0001C","76.9331","77.1259","170"
"509","Life Stone","4BB60000","93.0383","174.94","237.428"
"23618","Life Stone","4FA70000","53.4937","131.743","42.005"
"509","Life Stone","4FC30000","111.321","95.9742","0.00499997"
"509","Life Stone","51180000","165.407","133.044","120.005"
"509","Life Stone","52230000","57.6865","123.988","0.954776"
"509","Life Stone","54180000","111.376","112.962","68.005"
"509","Life Stone","54D70000","54.713","77.1105","146.564"
"509","Life Stone","5AD80000","43.9724","165.216","80.3409"
"509","Life Stone","5B9C0000","119.04","151.61","14.005"
"509","Life Stone","5BB70000","128.343","77.0408","-0.095"
"509","Life Stone","5C9D0000","51.3491","100.502","26.9755"
"509","Life Stone","5CEA0000","149.82","183.906","-0.445"
"509","Life Stone","5ED20000","90.195","139.761","25.6519"
"509","Life Stone","64D50000","29.2109","99.801","78.005"
"509","Life Stone","65D50000","25.3557","3.36543","73.7998"
"509","Life Stone","68B20000","14.0667","75.3146","68.2814"
"509","Life Stone","69AB0000","39.916","37.227","240.005"
"509","Life Stone","69D70000","157.753","90.5397","249.55"
"509","Life Stone","6AC30000","14.3529","9.00971","159.201"
"509","Life Stone","6BE20000","148.302","92.4129","84.005"
"509","Life Stone","70110000","19.3048","177.802","54.3963"
"509","Life Stone","759C0000","148.412","146.292","240.005"
"509","Life Stone","75B80000","92.1722","172.784","128.005"
"509","Life Stone","7ACA0000","43.5416","27.8085","200.005"
"509","Life Stone","7B980000","56.439","14.9822","112.708"
"509","Life Stone","7CD10000","38.3906","159.581","165.304"
"509","Life Stone","7D640000","37.7105","105.788","12.005"
"509","Life Stone","7D680000","108.103","14.1641","10.005"
"509","Life Stone","7D910000","155.135","6.80181","124.005"
"509","Life Stone","7DAE0000","160.462","97.9417","139.843"
"509","Life Stone","80120000","65.7135","144.597","-0.095"
"509","Life Stone","80900000","16.3444","140.231","124.005"
"509","Life Stone","81640000","19.2176","148.024","24"
"509","Life Stone","81900000","69.9582","57.5844","73.3819"
"509","Life Stone","828E0000","76.3446","115.939","124.005"
"509","Life Stone","82930000","22.847","44.6796","124.005"
"509","Life Stone","83580000","174.303","67.0709","0.00499998"
"509","Life Stone","8388000B","31.4672","64.8126","86"
"509","Life Stone","83C00000","51.4617","108.444","298.005"
"509","Life Stone","846D0000","16.3626","117.45","18.005"
"509","Life Stone","85880000","64.6986","104.385","86.005"
"509","Life Stone","86130000","48.5877","64.8509","262.005"
"509","Life Stone","866D0000","30.9289","186.236","-0.095"
"509","Life Stone","866F0000","140.028","55.6023","10.005"
"509","Life Stone","87880000","21.4482","91.477","108.005"
"509","Life Stone","886D0000","32.3736","114.775","26.005"
"509","Life Stone","89F40000","15.0139","111.919","6.005"
"509","Life Stone","8C440000","141.528","79.4403","20.419"
"509","Life Stone","8C580000","173.682","80.76","30.4801"
"509","Life Stone","8CDD0000","83.672","154.013","73.0323"
"23618","Life Stone","8FB20000","5.97046","34.9042","58.005"
"509","Life Stone","8FC60000","108","86.488","54.005"
"509","Life Stone","90580000","78.466","56.2945","-0.095"
"509","Life Stone","905C0000","132.495","53.9008","25.5083"
"509","Life Stone","90D00000","36.7909","89.1648","282.939"
"509","Life Stone","92240000","62.39","105.068","88.7607"
"509","Life Stone","93560000","50.244","150.787","19.2578"
"509","Life Stone","937A0000","65.2787","19.7839","20.005"
"509","Life Stone","937F0000","155.134","115.58","33.4509"
"509","Life Stone","94CB0000","26.4285","100.783","166.207"
"509","Life Stone","95D60000","98.2192","99.0071","100.005"
"509","Life Stone","96230000","11.6267","161.083","95.4303"
"509","Life Stone","96990000","138.622","122.379","224.005"
"509","Life Stone","97220000","146.035","65.7887","102.005"
"509","Life Stone","977B0000","109.511","128.157","0.00499997"
"509","Life Stone","98230000","154.736","177.799","80.9013"
"509","Life Stone","98780000","49.6096","94.6732","32.1408"
"509","Life Stone","99200000","175.051","135.901","130.005"
"509","Life Stone","9ABF0000","7.18069","50.9223","66.005"
"509","Life Stone","9B7B0000","29.7163","104.495","16.483"
"509","Life Stone","9C430000","74.736","67.3363","112.425"
"509","Life Stone","9C790000","157.008","174.992","23.424"
"509","Life Stone","9DC20000","121.452","90.6454","27.905"
"509","Life Stone","9E440000","106.12","34.9864","34.9205"
"509","Life Stone","9FA40000","164.197","163.109","84.4142"
"509","Life Stone","9FB50000","157.726","85.8647","94.022"
"509","Life Stone","A02F0000","18.6667","150.573","62.005"
"509","Life Stone","A0440000","99.9775","54.1059","56.7121"
"509","Life Stone","A05F0000","140.024","11.7193","69.3651"
"509","Life Stone","A1610000","140.747","50.8971","132.005"
"509","Life Stone","A1A40000","5.4","101.28","50.04"
"27096","Lugian Lifestone","A21E0199","136.06","136.225","577.005"
"509","Life Stone","A22B0000","155.769","60.146","140.473"
"509","Life Stone","A2600000","135.024","54.9381","20.005"
"509","Life Stone","A3A40000","117.425","103.42","80.005"
"509","Life Stone","A3E90000","12.0158","139.51","35.3859"
"509","Life Stone","A45F0000","161.594","69.204","33.4728"
"509","Life Stone","A5B40000","174.116","103.073","46.005"
"509","Life Stone","A9160000","96.426","7.96789","144.042"
"509","Life Stone","A9B00000","21.5862","146.569","58.005"
"509","Life Stone","A9B40000","81.3304","11.7974","94.005"
"509","Life Stone","ABB30000","17.9975","185.42","57.5064"
"509","Life Stone","AD580000","146.878","21.6874","58.005"
"509","Life Stone","AED90000","178.332","65.8374","16.005"
"509","Life Stone","AFC70000","135.908","27.8177","171.398"
"509","Life Stone","B1320000","62.1586","36.5546","50.4461"
"509","Life Stone","B1370000","83.3893","16.5993","180"
"509","Life Stone","B13F0000","147.61","48.8935","42.005"
"509","Life Stone","B3810000","113.068","162.61","24.005"
"509","Life Stone","B470001B","83.2232","58.8635","42"
"509","Life Stone","B58A0000","134.376","125.262","38.4437"
"509","Life Stone","B6520000","156.412","65.5844","4.005"
"509","Life Stone","B6650000","156.64","131.992","14.005"
"509","Life Stone","B69C0000","87.7331","84.2289","61.0243"
"509","Life Stone","B6B20101","132","110","82.005"
"509","Life Stone","B76F0000","151.183","80.4998","18.005"
"509","Life Stone","B817003E","169.278","140.476","49.9"
"509","Life Stone","B96B0000","109.962","173.984","6"
"509","Life Stone","B9720000","147.054","93.6479","34.005"
"509","Life Stone","B9730000","151.326","15.9557","40.005"
"509","Life Stone","BA170000","33.9878","53.2589","132.005"
"509","Life Stone","BB660000","69.0502","127.265","6.005"
"509","Life Stone","BB800000","171.236","150.405","44.005"
"509","Life Stone","BB9D0000","155.176","189.496","36.6771"
"509","Life Stone","BC1D0000","45.745","5.54324","0.005"
"509","Life Stone","BC340000","13.189","138.207","56.4879"
"509","Life Stone","BC9F0000","147.772","75.9942","32.005"
"509","Life Stone","BCD10000","133.01","44.2595","102.318"
"509","Life Stone","BD9E0000","42.3517","58.6909","9.59593"
"509","Life Stone","BDD20000","130.512","92.5485","186.005"
"509","Life Stone","BF800000","144.614","26.9077","34.005"
"509","Life Stone","C0260000","173.629","124.122","106.478"
"509","Life Stone","C0820000","6.17334","60.6673","45.5805"
"509","Life Stone","C1320000","100.345","114.25","150.005"
"509","Life Stone","C2740000","138.373","111.336","24.005"
"509","Life Stone","C3800000","17.9662","125.489","34.005"
"509","Life Stone","C4370000","57.8491","131.048","64.9256"
"509","Life Stone","C4A80000","55.2651","12.317","59.3998"
"509","Life Stone","C59C0000","132","111","10.005"
"509","Life Stone","C6A90000","80.4637","81.6297","42.005"
"509","Life Stone","C75F0000","136.247","35.2271","6.005"
"23618","Life Stone","C7BB0000","36.2672","156.867","116.005"
"509","Life Stone","C8790101","60","38","22.005"
"509","Life Stone","C8880000","101.437","172.17","28.005"
"509","Life Stone","C8A90000","29.0622","164.809","110.353"
"509","Life Stone","C8E9002A","132.475","38.2142","0"
"509","Life Stone","C95B0000","111.467","87.5341","12.005"
"509","Life Stone","C98D0000","134.193","92.2762","22.005"
"509","Life Stone","C9E3002E","133.764","131.426","26"
"509","Life Stone","CA400000","46.8114","56.8978","150.005"
"509","Life Stone","CB530000","18.0533","178.668","21.0119"
"509","Life Stone","CB5B0000","31.3873","70.58","5.905"
"509","Life Stone","CC8C0000","34.3448","76.644","24.005"
"509","Life Stone","CD410000","83.5755","84.0811","54.005"
"509","Life Stone","CD96003E","173.669","127.184","19.5276"
"509","Life Stone","CF180000","3.75656","150.849","0.00500003"
"509","Life Stone","CF950000","146.905","134.13","20.005"
"509","Life Stone","CFA10000","33.291","130.168","16.0835"
"509","Life Stone","D0550000","102.678","12.7019","238.005"
"23618","Life Stone","D1D70000","61.4974","31.0924","0.005"
"509","Life Stone","D6550000","151.276","81.7088","44.005"
"509","Life Stone","D7690000","160.788","75.3298","61.7275"
"509","Life Stone","D7840000","104.297","52.6375","22.005"
"509","Life Stone","DA3B0000","156.478","57.1226","0.00499994"
"509","Life Stone","DA550000","88.7966","103.088","20.005"
"23618","Life Stone","DABE0000","155.427","37.3825","2.005"
"509","Life Stone","DC390000","5.57258","173.828","14.005"
"509","Life Stone","DC5F0000","177.111","64.327","22.7642"
"509","Life Stone","DD740000","84.1485","78.8167","13.5607"
"509","Life Stone","DE510000","27.1355","101.376","17.3011"
"509","Life Stone","E15B0000","64.5134","133.26","11.3811"
"509","Life Stone","E3320000","93.4678","115.326","86.005"
"509","Life Stone","E33D0000","122.843","108.621","131.77"
"509","Life Stone","E3550000","51.1372","68.6835","4.005"
"509","Life Stone","E53E0000","90.7519","41.3387","118.005"
"509","Life Stone","E5420000","85.5193","25.5125","58.005"
"509","Life Stone","E54E0000","83.9762","108.323","12.005"
"509","Life Stone","E6300000","96.9662","111.509","90.7142"
"509","Life Stone","E6320000","59.4909","11.2163","28.005"
"509","Life Stone","E7320000","116.714","87.6789","0.005"
"509","Life Stone","E74E0000","71.8505","124.146","32.005"
"509","Life Stone","E8220000","154.895","137.344","0.005"
"509","Life Stone","E94C0000","108.252","98.0178","32.005"
"509","Life Stone","EA1D0000","9.13829","128.252","0.005"
"509","Life Stone","EA3D0000","30.032","182.433","78.5093"
"509","Life Stone","EA4E0000","85.17","87.8154","-0.45"
"509","Life Stone","F2220000","134.291","94.0989","18.005"
"509","Life Stone","F5590035","163.24","101.351","20"
"509","Life Stone","F6290000","19.4796","132.69","0.005"
"23618","Life Stone","F81B0000","60.2075","60.0127","0.005"
