"classId","name","cell","x","y","z","destCell","destX","destY","destZ"
"31514","Tunnel of Love","0609002C","141.837","82.4742","71.937","00320104","68.0962","-1.76758","0.005"
"10795","Obsidian Rim Portal","09040000","12.298","178.345","89.2889","2E43000C","33","80","7.5"
"32584","Repository","0A0F0027","113.812","152.044","247.565","0047039C","60","-228.903","0.004999"
"30660","War Room","0B700000","91.879","106.925","90.005","0010035E","110.589","-191.144","0.005"
"14888","Venemous Nidus","0C6F0000","135.673","1.76111","90.005","536E027C","90","-50","0"
"22927","Caul Asylum","0D080000","124.528","180.894","27.404","6045026F","60","-100","0.005"
"32125","Gatekeepers","0E340001","14.1702","11.3778","-0.895","79110040","175.9","175.86","200.005"
"42852","Portal to Town Network","0EBA0023","118.522","52.621","2.198","00070145","70","-80","0.005"
"7291","Halls of Metos","0F390000","175","97.5","38.545","02F40297","100","-330","0"
"7285","Sclavus Cathedral","0F690000","121.592","12.7986","0.00499997","02F703FA","110","-320","0"
"31315","Creepy Canyons","0F850022","116.271","32.4497","16.4989","00310338","150.537","-200.946","-17.995"
"38998","Holtburg Casino VIP Portal","10350027","105","150","71.937","A9B2001D","84","102","94"
"39002","Shoushi Casino VIP Portal","10350027","105","156","71.937","DB54001E","85","132","20"
"39000","Yaraq Casino VIP Portal","10350027","105","162","71.937","7E64001D","85","108","12"
"32237","Mistress Gabille's Dig","108A0011","57.2339","10.1742","70.006","00420292","320","-10","0.005"
"31710","Hagra's Holdfast","10BB0100","170","132","16.737","003901E0","110","-30","0.005"
"32685","Shade Iron Mine","112E0101","180","21","20.737","005303B0","0","-10","0.005"
"42852","Portal to Town Network","11340026","105.754","133.537","42.198","00070145","70","-80","0.005"
"19715","Colossus Foundry Portal","11340149","103.085","86.0657","36.805","545701C5","160","-90","0"
"25396","Ancient Temple","11560100","37.3063","58.33","0.005","594D03E2","60","-50","0.005"
"33985","Ancient Caves","12450100","92.8098","173.87","-5.263","00D10E92","160","-150","-2.91085"
"7210","Obsidian Rim Portal","12860000","7","61","50.005","2E43000C","33","80","7.5"
"29237","Ishaq's Cellar","132C0000","43.4081","151.383","10.005","02EA017D","0.449236","-37.2334","6.005"
"7244","Black Spawn Den","13380000","174.997","110.955","97.2529","01040375","100","-210","0"
"5526","Mount Lethe Magma Tubes Portal","14550100","181.082","14.6518","64.805","0146029B","70","-20","0"
"1116","Old Talisman Dungeon Portal","147C0000","81","109.1","148.288","01EA041E","60","-60","54"
"1900","Heartland","147C0000","57.5786","69.2374","149.09","AD9B003E","186.1","126.3","62"
"1112","Isle of Tears Portal","15680104","148.667","-0.658027","-63.995","C09B0015","64.2","119.3","2"
