"classId","name","cell","x","y","z"
"11375","Hea Rangaua the Elder Shaman","0EBA0000","160.009","7.99654","0.00500001"
"11379","Hea Nyrenauri the Healer","0EBA0000","77.5784","85.7573","2.005"
"11381","Hea Kiriona the Shopkeep","0EBA0000","86.276","102.357","1.51733"
"11380","Hea Palagura the Jeweler","0EBA0000","149.821","15.3112","0.1655"
"11377","Hea Camauri the Barkeep","0EBA0100","130.782","62.7715","1.705"
"11376","Hea Nyrinua the Armorer","0EBA010A","87.0768","67.8836","1.705"
"11378","Hea Timitea the Bowyer","0EBA010A","89.5952","61.345","1.705"
"6860","Jeweler Daryam ibn Zubed","11340000","66.773","129.873","42.005"
"6857","Thiuda the Sharp-Eyed Bowyer","11340000","110.09","65.3801","42.005"
"6859","Ellimar Jorning the Healer","11340000","135.385","86.9925","45.605"
"20208","Grand Master Scrivener of Creature Magic","11340000","41.4561","104.499","45.605"
"20212","Grand Master Scrivener of Item Magic","11340000","33.3447","102.261","50.805"
"43353","Grand Master Scrivener of Void Magic","1134000D","31.9046","107.454","50.805"
"6855","Sung Wenxio the Armorer","11340100","81.6822","57.8933","42.005"
"6862","Sang Nen-Kai the Weaponsmith","11340101","75.9405","61.9682","41.205"
"6861","Scribe Muhiza bint Murqidh ","11340111","138.604","79.0318","42.005"
"6858","Grocer Nihara bint Umar","11340130","77.5","155.842","42.005"
"6856","Berkholt the Burly Barkeep","1134013A","84.397","162.5","42.005"
"20224","Grand Master Scrivener of War Magic","1134014C","39.1283","101.175","42.005"
"20220","Grand Master Scrivener of Life Magic","11340151","29.0512","114.19","42.005"
"6854","Claude the Archmage","11350100","15.127","83.413","71.729"
"11395","Micon Stuvis the Barkeep","17B20105","131.524","68.5955","44.005"
"11396","Lam Yi the Jeweler","17B2011B","108.972","37.0342","43.705"
"11399","Leyrale Shalorn the Tailor","17B2011D","153.693","37.4657","43.705"
"11394","Ton Ai Yen the Armorer","17B2011F","39.6727","103.323","45.705"
"11397","Milanna Russmad the Mage","17B20126","55.6191","79.2514","46.005"
"31955","Janus Roma the Shopkeep","17B2012A","100.911","79.975","43.705"
"11400","Aun Dreganaua the Elder Shaman","1DB60000","150.216","131.888","120.007"
"11407","Aun Mireona the Shopkeep","1DB60000","164.243","67.4173","120.005"
"11404","Aun Taguauri the Healer","1DB60000","178.826","109.506","120.006"
"11405","Aun Ngaiona the Jeweler","1DB60000","149.115","56.0019","120.005"
"11402","Aun Laranawa the Barkeep","1DB60000","173.319","165.358","120.006"
"11401","Aun Maanuawa the Armorer","1EB60000","18.8473","140.352","120.006"
"11403","Aun Paikitea the Bowyer","1EB60000","10.8492","130.524","120.007"
"43144","Lintareal","21700031","154.492","4.03965","178.007"
"11384","Lark Grifanna the Barkeep","21B00107","135.269","91.0957","3.605"
"11387","Wahnaqa bint Fayat the Mage","21B0010E","76.6541","83.6213","0.005"
"11385","Yusnar ibn Lomaq the Grocer","21B00114","4.35506","151.473","1.605"
"11382","Dorlan the Armorer","21B0011D","4.88733","87.0228","-0.295"
"31956","Lucarus Malloni the Armorer","21B0011F","31.752","61.921","-0.295"
"11388","Brother Ku-Xao Sutan the Monk","21B0012D","78.1262","156.547","-1.195"
"11386","Nathious Agoren the Jeweler","21B00133","67.1378","42.0972","1.605"
"30052","Blacksmith","23DA0024","97.8579","74.2193","2.005"
"30053","Archmage","23DA0102","112.084","87.2738","6.005"
"30054","Healer","23DA0103","117.052","87.3254","2.005"
"30051","Shopkeeper","23DA0109","102.511","91.1132","2.005"
"30023","Master Scrivener of Creature Magic","23DA0115","86.4489","115.054","2.085"
"30013","Master Scrivener of Life Magic","23DA0115","91.1228","113.853","2.085"
"30017","Master Scrivener of War Magic","23DA0115","89.414","108.992","2.085"
"30027","Master Scrivener of Item Magic","23DA0115","91.1786","110.188","2.085"
"2314","Zisaha bint Jaidka the Mage","24810102","85.0908","132.949","219.245"
